time,id,rssi
2022-02-08T14:24:35Z,1E4C3433EB,-98
2022-02-08T14:24:35Z,2D330752BE,-103
2022-02-08T14:24:35Z,4B61662DF7,-94
2022-02-08T14:24:35Z,782A3419A4,-98
2022-02-08T14:24:35Z,554B554C76,-109
2022-02-08T14:24:35Z,7833552D,-100
2022-02-08T14:24:35Z,073466550F,-92
2022-02-08T14:24:36Z,072D1E2AE7,-106
2022-02-08T14:24:36Z,192A344C4B,-99
2022-02-08T14:24:36Z,19614B342F,-105
2022-02-08T14:24:36Z,55332D5210,-95
2022-02-08T14:24:36Z,0707665553,-96
2022-02-08T14:24:36Z,524C2A55,-98
2022-02-08T14:24:36Z,611E072A70,-94
2022-02-08T14:24:37Z,2D6119193B,-106
2022-02-08T14:24:37Z,611E4C4C89,-89
2022-02-08T14:24:37Z,34191966B6,-96
2022-02-08T14:24:37Z,2A341E66AC,-99
2022-02-08T14:24:37Z,331E0733EF,-98
2022-02-08T14:24:38Z,52612D33A0,-88
2022-02-08T14:24:38Z,7866192D13,-85
2022-02-08T14:24:38Z,7FFFFFFF,-106
2022-02-08T14:24:38Z,2A523452B4,-100
2022-02-08T14:24:38Z,3355192D5E,-100
2022-02-08T14:24:38Z,072D332AA0,-102
2022-02-08T14:24:38Z,333355552E,-86
2022-02-08T14:24:39Z,61662A1E8D,-98
2022-02-08T14:24:39Z,4C1E4B2AE7,-92
2022-02-08T14:24:39Z,2A4C3361C8,-94
2022-02-08T14:24:39Z,520766616D,-90
2022-02-08T14:24:39Z,521E4C4B0F,-83
2022-02-08T14:24:39Z,522D4C19,-103
2022-02-08T14:24:39Z,78662D0768,-96
2022-02-08T14:24:39Z,782D520763,-100
2022-02-08T14:24:39Z,1E342D618E,-108
2022-02-08T14:24:39Z,664B1E61EA,-103
2022-02-08T14:24:39Z,55524C346B,-105
2022-02-08T14:24:39Z,78521E3368,-102
2022-02-08T14:24:40Z,2D552A4B0E,-98
2022-02-08T14:24:40Z,07192A2D15,-103
2022-02-08T14:24:40Z,1E4C3433EB,-96
2022-02-08T14:24:40Z,07614B786F,-93
2022-02-08T14:24:40Z,2D330752BE,-101
2022-02-08T14:24:40Z,191E7833DC,-93
2022-02-08T14:24:40Z,554B554C76,-108
2022-02-08T14:24:41Z,072D1E2AE7,-104
2022-02-08T14:24:41Z,34784B19,-94
2022-02-08T14:24:41Z,193434529F,-105
2022-02-08T14:24:41Z,192A344C4B,-108
2022-02-08T14:24:41Z,331E522DF8,-102
2017-01-01T01:01:03Z,52612D33A0,-85
2017-01-01T01:01:03Z,344C194C84,-88
2017-01-01T01:01:03Z,7866192D13,-85
2017-01-01T01:01:04Z,55665519,-106
2017-01-01T01:01:04Z,333355552E,-87
2017-01-01T01:01:04Z,61662A1E8D,-108
2017-01-01T01:01:04Z,2A4C3361C8,-91
2017-01-01T01:01:04Z,4C1E4B2AE7,-95
2017-01-01T01:01:04Z,2A1E4B07,-102
2017-01-01T01:01:04Z,2D1E782A62,-88
2017-01-01T01:01:04Z,782D520763,-99
2017-01-01T01:01:04Z,520766616D,-108
2017-01-01T01:01:05Z,78662D0768,-100
2017-01-01T01:01:05Z,664B1E61EA,-105
2017-01-01T01:01:05Z,78521E3368,-93
2017-01-01T01:01:05Z,78552D34,-107
2017-01-01T01:01:05Z,2D552A4B0E,-104
2017-01-01T01:01:05Z,07192A2D15,-109
2017-01-01T01:01:05Z,1E4C3433EB,-89
2017-01-01T01:01:05Z,1E2D194C78,-99
2017-01-01T01:01:06Z,07614B786F,-89
2017-01-01T01:01:06Z,4B61662DF7,-89
2017-01-01T01:01:06Z,2A331E61AF,-100
2017-01-01T01:01:06Z,554B554C76,-99
2017-01-01T01:01:06Z,072D1E2AE7,-97
2017-01-01T01:01:06Z,34784B19,-92
2017-01-01T01:01:06Z,2A071E5569,-106
2017-01-01T01:01:06Z,192A344C4B,-96
2017-01-01T01:01:07Z,2D34074CF2,-90
2017-01-01T01:01:07Z,331E522DF8,-106
2017-01-01T01:01:07Z,1E615252,-108
2017-01-01T01:01:07Z,074B2A4CC7,-90
2017-01-01T01:01:07Z,4B2A2D1EC8,-96
2017-01-01T01:01:07Z,782A3419A4,-91
2017-01-01T01:01:07Z,7866333470,-89
2017-01-01T01:01:07Z,2D614B4CB1,-94
2017-01-01T01:01:07Z,5234781ECA,-88
2017-01-01T01:01:08Z,07330733CC,-99
2017-01-01T01:01:08Z,521E521E22,-102
2017-01-01T01:01:08Z,7833191E6E,-99
2017-01-01T01:01:08Z,55524C7888,-107
2017-01-01T01:01:08Z,524C2A55,-98
2017-01-01T01:01:08Z,52612D33A0,-86
2017-01-01T01:01:08Z,344C194C84,-88
2017-01-01T01:01:09Z,7866192D13,-85
2017-01-01T01:01:09Z,3355192D5E,-107
2017-01-01T01:01:09Z,61662A1E8D,-105
2017-01-01T01:01:09Z,6166191E,-99
2017-01-01T01:01:09Z,4C1E4B2AE7,-96
2017-01-01T01:01:09Z,2D1E782A62,-87
2017-01-01T01:01:14Z,7866192D13,-84
2017-01-01T01:01:14Z,333355552E,-88
2017-01-01T01:01:14Z,61662A1E8D,-107
2017-01-01T01:01:14Z,2A4C3361C8,-92
2017-01-01T01:01:14Z,1E55343373,-89
2017-01-01T01:01:14Z,4C1E4B2AE7,-98
2017-01-01T01:01:14Z,2D1E782A62,-88
2017-01-01T01:01:15Z,522A1E4B63,-95
2017-01-01T01:01:15Z,520766616D,-108
2017-01-01T01:01:15Z,78521E3368,-93
2017-01-01T01:01:15Z,3455665227,-97
2017-01-01T01:01:15Z,2D552A4B0E,-102
2017-01-01T01:01:16Z,07192A2D,-109
2017-01-01T01:01:16Z,2A331E61AF,-102
2017-01-01T01:01:16Z,2D330752BE,-102
