"PointId","avg.x.est","sd.x.est","med.x.est","min.x.est","max.x.est","avg.y.est","sd.y.est","med.y.est","min.y.est","max.y.est","mean.no.nodes","n.sim","filter","x","y","diff.dist"
"P1",803.378413028045,41.3114771250651,794.304850036768,746.172428696581,968.516564097535,705.360829278027,31.7540773762841,701.970760357408,638.718116977949,766.501619285195,5,100,"Distance 125",805,699,6.56427402016585
"P10",483.834553191622,59.019834331095,482.322211205373,350.058146338576,663.241095500188,128.582062508289,77.874880858952,143.758369602798,-86.6613350131451,296.944260503507,4.9,100,"Distance 125",494,148,21.9178604167004
"P100",662.841476936891,46.6992499439336,661.404264103989,545.819891586552,800.179656239121,311.629532900004,52.2557834899213,308.139018033376,164.553061709111,430.941124814568,4.99,100,"Distance 125",653,298,16.8112710813801
"P11",463.612490883411,81.7678105256775,458.495532823436,258.470380553326,757.351124728319,975.183004032156,86.1779280703672,981.045253134712,748.400579261343,1226.34112750514,4.98,100,"Distance 125",466,971,4.81640140715345
"P12",236.701271841507,52.0864293822507,242.374948518965,64.9192772055228,389.198338563097,868.585565714055,58.3780054067568,872.667254491764,600.487453313662,974.170543663722,5,100,"Distance 125",224,871,12.9287199410071
"P13",691.857811088466,76.8565844181093,707.700239294256,518.305470936292,882.624354600813,405.231106102083,81.0576373916384,421.421302385048,225.636426181516,625.74958048618,4.99,100,"Distance 125",699,448,43.361147905692
"P14",385.478473983863,54.600375407586,381.055049072128,256.888629302815,490.238649925667,177.163195403463,63.9558793338263,175.413389843738,22.0097933576721,388.998671725994,5,100,"Distance 125",360,182,25.9335172171358
"P15",18.0069159829489,43.1798932943167,20.0904819885734,-93.5381461089611,152.627858916041,319.052569604596,44.5057145969574,316.966194826917,235.110667877142,430.206923864837,4,100,"Distance 125",13,319,5.00719194994927
"P16",567.460177220166,29.9494997616716,570.400107997415,508.958573597496,677.017434425301,912.779332413488,29.2430078285378,910.473265140227,857.667691818858,987.852239062894,5,100,"Distance 125",571,896,17.1486542199373
"P17",172.293837483014,32.9562785409169,172.366980449465,30.3378577094391,237.97729835715,347.213127397131,36.3378486831867,350.325311952045,243.555657270745,423.723517814746,4.96,100,"Distance 125",163,339,12.4028576063013
"P18",229.338809194138,69.3925782751095,234.951418355529,-0.765099375956133,399.046823559638,86.326692227765,74.1940895757981,81.676412370492,-75.2669756791558,357.049504430443,4.88,100,"Distance 125",227,79,7.69093280733733
"P19",353.818763749342,80.0212672698135,353.763309691685,4.11993977715391,551.073172514369,505.450879983888,97.2924679454972,504.479396052172,333.584726460666,952.823822656333,4.86,100,"Distance 125",340,533,30.8206464114924
