"PointId","avg.x.est","sd.x.est","med.x.est","min.x.est","max.x.est","avg.y.est","sd.y.est","med.y.est","min.y.est","max.y.est","mean.no.nodes","n.sim","filter","x","y","diff.dist"
"P1",823.962152376083,26.9074272737421,825.173138187444,744.278778689579,913.85867621359,702.636332342958,27.9970425181934,701.574293899371,629.274075989916,774.850005281805,45.28,100,"Distance 400",805,699,19.3076703836123
"P10",481.622345656924,30.7752396521575,483.913825629533,381.438237527965,535.419982036585,176.850230308208,35.2162783120597,178.675758067702,76.3094072189738,259.987709986724,37.1,100,"Distance 400",494,148,31.393345088941
"P100",641.991313575591,29.1362071182748,639.36636675559,585.37764534267,713.015079659574,297.905342410411,22.041498665386,295.938442082527,251.466263622807,354.856698527714,43.73,100,"Distance 400",653,298,11.0090933709473
"P11",454.066062763579,29.9686826395527,451.229642123706,386.81362924304,545.518114474952,958.385755515228,28.5667201854116,958.758404783957,900.450701413968,1033.94146343647,41.23,100,"Distance 400",466,971,17.3648501831844
"P12",223.418691779661,31.8313962695761,225.917141794342,135.622999871078,292.229253660241,861.610359636122,33.0636754460446,862.385704711489,773.937274506031,938.708852324826,40.16,100,"Distance 400",224,871,9.40761741409556
"P13",707.768818154533,31.4219956458682,709.44389229613,627.260470872857,766.423557947756,427.377166254179,46.3847596778213,430.169974529515,324.073760091714,522.383563733078,43.33,100,"Distance 400",699,448,22.4096729903641
"P14",378.528322940136,28.3584131879262,379.606233931082,285.407901838131,457.011024899778,192.593821450484,33.2507088967831,195.721390457917,65.0292766551093,266.11769021157,39.17,100,"Distance 400",360,182,21.3430973361114
"P15",11.6004374125158,39.3365365949383,10.7830125197723,-62.8592859380827,133.472255474776,316.703846508714,29.5928358931141,319.0477495961,248.72293454536,383.816938039868,25.33,100,"Distance 400",13,319,2.68906978188221
"P16",579.407156963295,27.3211912606592,576.96882822538,507.800271438102,657.079051229291,922.068740063311,22.3426271327069,920.125733955085,867.241729474907,979.258730408932,44.37,100,"Distance 400",571,896,27.3908652052826
"P17",177.285889985264,28.1967051519917,179.035234784375,106.110427825702,261.996380465599,341.40428871267,29.9920356222132,343.550816979197,251.393576289956,416.998893348359,37.16,100,"Distance 400",163,339,14.4867959495858
"P18",249.86856090558,36.2854681877027,254.34918189127,149.593870143293,334.23667747504,80.0133468494793,45.0748605997956,77.9950812605102,-42.2082340981122,191.849290914359,30.98,100,"Distance 400",227,79,22.8910015012352
"P19",339.832135207406,32.5497612329586,340.567125683585,254.782057794403,410.703805607384,518.90192343488,32.3840942043159,522.345787589365,419.233006671733,589.337292604793,43.44,100,"Distance 400",340,533,14.0990759067595
"P2",529.661632034376,24.2505240263168,530.117932676044,467.844673079747,592.070006190412,491.004814971706,28.8873009489282,493.595893019096,412.77114649608,565.529334066064,45.25,100,"Distance 400",519,496,11.7737959513206
"P20",303.748997452234,25.6694800250406,306.720995855077,224.336008492833,360.670044966632,625.378753507079,26.2480253520464,622.602447648601,563.058616581352,687.596200699386,44.77,100,"Distance 400",291,619,14.2557157779313
"P21",309.068070130008,31.763863593005,305.278136117313,250.256884279125,397.768247251316,462.435241812546,32.3998618267501,460.059467573924,357.915901657045,526.125579436433,43.07,100,"Distance 400",285,474,26.7023525502392
"P22",124.760566054401,37.8168863148045,129.538008722833,-11.9750517628201,201.334073442711,612.032863674268,29.1165612284591,611.229174978805,531.884534925505,697.18343639933,35.14,100,"Distance 400",126,608,4.21902665560786
"P23",1146.6579203727,58.9137623813255,1143.0929749798,966.780220139601,1274.66686401951,43.0093040905649,53.2347534113054,41.6008093801556,-79.0352754785206,162.306255216287,20.32,100,"Distance 400",1150,42,3.49115897409898
"P24",585.928767768385,30.6024210246017,587.611987157175,500.474204999854,665.172727009646,1113.45951692069,32.1207872467114,1114.69243682554,1041.59750663818,1206.86664509378,32.85,100,"Distance 400",583,1114,2.97822138199097
"P25",986.553049926919,34.9010219342545,983.128332467571,903.59725626636,1069.05970137078,327.693486328661,34.7846512523066,328.212981290445,220.621277298241,431.412039163525,38.5,100,"Distance 400",1001,340,18.9780042458884
"P26",58.7623260513523,38.7457486104701,60.2261918931734,-18.6033427150507,139.993276130729,183.279614194533,28.6263234743328,181.091451210351,118.465557924517,245.257127521874,23.68,100,"Distance 400",60,162,21.3155768646151
"P27",650.311834523608,31.0270533557964,652.974438357557,547.7785206096,725.819318857086,664.447032011307,29.2480392956632,664.608952409144,591.104265843794,729.349547593799,44.95,100,"Distance 400",661,658,12.4820312051183
"P28",777.732628558289,26.2829304315972,778.653290480363,689.494463936375,847.920292359696,797.247106092792,28.882326161618,798.037501092537,734.260882744893,865.209304589942,44.81,100,"Distance 400",783,804,8.5642733507848
"P29",710.203388953031,29.7156994453775,710.141871192865,638.171417930392,764.430578973973,582.007866331816,31.2046992516763,581.524289468294,484.195494780036,642.679824521768,45.35,100,"Distance 400",715,584,5.19384964047027
"P3",802.029258687546,29.3350767729856,802.770560398194,697.929341364998,897.855555120056,79.897840649688,36.5959510180521,83.2944067308065,-20.1604952778822,168.969316464207,30.76,100,"Distance 400",769,64,36.6561490990493
"P30",1066.03188800397,49.6780495045608,1062.1271016634,933.908049939665,1217.35353119365,1160.47464480331,37.4283028008899,1162.4807859388,1029.35581665035,1242.69331914031,21.52,100,"Distance 400",1055,1197,38.1550013127576
"P31",222.455788146463,27.7919753247544,223.25649465232,156.812534421172,295.059971877698,166.618786775339,31.1716433035681,164.379699885812,91.6002789267914,243.96854292235,33.07,100,"Distance 400",212,143,25.8296456518983
"P32",1198.98390068475,40.5356641141457,1201.9027391159,1057.10923142991,1280.29327690365,396.660896444186,42.7794562192683,392.973751588129,280.747043813778,494.307706581665,27.27,100,"Distance 400",1236,363,50.0324650396369
"P33",1019.40720730081,32.6218263046519,1019.93249400496,940.869055263075,1122.13801913683,1116.3587880407,42.8749321250294,1115.32923465027,1031.91320956897,1269.96042454771,27.22,100,"Distance 400",1015,1138,22.0854144461843
"P34",1122.76949474451,36.5374700710706,1123.12230303794,1037.99352715171,1249.6148295602,538.652112828231,29.3876246942001,537.26416726331,459.251854335115,602.555503373058,33.25,100,"Distance 400",1126,551,12.7634823544563
"P35",1213.94661640832,49.3812900290347,1220.47280188383,1053.49447153005,1313.6947754449,846.573360588446,43.0933949015647,843.866564832013,750.098982169987,995.898370784464,26.49,100,"Distance 400",1246,840,32.7204594879268
"P36",512.102528179263,37.6963144220721,510.632211029541,415.320508227072,608.157832311996,720.47992652401,31.6180092775395,718.78389383745,626.958374480862,847.171818480968,45.09,100,"Distance 400",509,736,15.827140038657
"P37",230.032544897921,25.5063772270654,228.473098320357,153.715148851565,295.323284277135,988.142409073565,30.5929172320826,985.687316818247,931.786782835722,1071.42979257319,35.23,100,"Distance 400",217,994,14.28840781815
"P38",204.894545886043,26.0445205047684,206.197629494749,144.725923334217,269.160808148785,892.41059766472,24.6415669699643,894.013337173626,824.703711959586,944.239201861547,38.82,100,"Distance 400",194,885,13.1760421907131
"P39",901.019285105483,31.7897803813078,897.761686184422,812.532644224654,975.47984207477,66.7341474670108,51.5806244738418,69.4774291660441,-62.1360883961495,290.983731694276,30.38,100,"Distance 400",923,69,22.0971924681691
"P4",974.752493349107,29.4979375876745,976.199172243667,901.499529160385,1035.52649301422,534.250390633333,34.5648234173138,531.285984053634,443.363534699283,621.790453134287,38.93,100,"Distance 400",979,522,12.9658545194148
"P40",1230.19967872721,38.0667483663164,1231.19581486349,1150.66715538548,1322.5149671009,546.594899001068,46.5650164530635,543.012639440317,434.831612387725,658.527699306824,28.11,100,"Distance 400",1229,519,27.6209645003154
"P41",1084.66611644083,35.665315715868,1080.27914485867,1008.14126623197,1165.10223957616,1137.57411399823,35.7164066833612,1137.73427918601,1062.21625134967,1245.94345679169,22.93,100,"Distance 400",1092,1153,17.0805095649672
"P42",662.59114077687,37.2658174667357,660.813821257764,570.347678033566,769.231058187565,627.435462623187,35.850715400476,627.413622607169,540.888668211743,712.297024029276,44.98,100,"Distance 400",661,622,5.66356627045877
"P43",147.900453792528,27.9793613054299,147.640662096125,84.8701661306693,224.152422729471,231.02129773648,30.9860433011623,235.003604041564,143.564275443694,290.291853899827,31.2,100,"Distance 400",133,206,29.1219653121288
"P44",991.505906305994,22.9462288797655,988.125458181426,944.039102307739,1042.60830053753,169.395244273964,32.3704042706554,168.964527682998,83.0934279161907,258.461605861829,29.32,100,"Distance 400",1000,153,18.4649306114456
"P45",421.814135944341,26.2127444859002,424.52723241787,352.983461172727,484.863353018118,867.675946001523,27.8637185797266,869.412721473506,781.230507685666,928.708961293173,43.84,100,"Distance 400",411,873,12.0536752570071
"P46",871.442364045955,30.077346464204,870.881591641952,798.114549199839,948.297770755416,1012.65783359983,31.5879989140251,1016.92647871273,933.694317616524,1081.46637162069,37.04,100,"Distance 400",891,1045,37.795725308122
"P47",564.393977864205,37.2271848732485,568.707941819216,447.118350703192,692.057631563093,1110.77208607135,30.129983276021,1112.067400715,1040.90595859126,1175.8428428909,32.59,100,"Distance 400",559,1135,24.8210960784068
"P48",901.245422444913,31.0560418400588,904.721150496975,826.408678446538,970.486399816745,1009.25697074408,32.1907029388417,1012.45741304824,929.532260361064,1094.46803562716,36.2,100,"Distance 400",901,1031,21.7444143034524
"P49",1211.9706813272,48.8921548378781,1215.84345106601,1076.19318408043,1302.37532989662,1197.28113968272,67.8865902682656,1201.10180147263,1028.34104991502,1327.03291608067,15.85,100,"Distance 400",1229,1234,40.4755777903095
"P5",890.523450502563,28.7244676776125,887.156821256639,832.014597619642,964.887792137888,40.8239619096561,36.028401224095,41.8617769673342,-63.8436624972163,133.991166259998,28.47,100,"Distance 400",875,23,23.6362250298645
"P50",856.307509594841,32.5260850903547,860.665305702832,774.57134372507,936.188882355404,584.48133431803,32.0519308538308,583.812483377378,514.116329319596,660.739686993841,45.13,100,"Distance 400",852,582,4.97108226722083
"P51",1035.42181032553,33.720797451596,1029.79378361377,954.250260838071,1153.7330704004,944.14469111413,38.5333066061086,942.447323580966,837.536911352889,1138.6914775577,34.44,100,"Distance 400",1040,958,14.5921007746748
"P52",320.9536227413,31.3810056844724,322.799274095743,215.842426721818,390.138684420615,792.19512449859,26.6364156254822,791.867564585051,736.260424717473,849.372081448515,43.61,100,"Distance 400",334,792,13.0478363396494
"P53",723.86537608214,30.534213760614,721.293417110551,655.05588954975,813.427944002847,550.471262098541,28.6572625250685,548.252998373513,480.16455410249,625.71388766744,44.61,100,"Distance 400",728,535,16.0142144941266
