"PointId","avg.x.est","sd.x.est","med.x.est","min.x.est","max.x.est","avg.y.est","sd.y.est","med.y.est","min.y.est","max.y.est","mean.no.nodes","n.sim","filter","x","y","diff.dist"
"P1",813.98226510985,26.3742122681231,813.534634093811,758.226486168128,929.563737900839,707.182375747945,25.2557674537029,707.908437168243,642.93215477464,769.02081664346,12.57,100,"Distance 200",805,699,12.1504057292008
"P10",471.369238194252,54.2454478557869,466.079648187959,350.767102248909,674.076457134532,148.998223888084,61.5186020030562,156.011993250626,-64.507954552317,266.499395491248,11.93,100,"Distance 200",494,148,22.6527665162392
"P100",670.343477881849,54.4158241190713,664.840247634761,542.66098670724,856.855185256221,283.743991004907,49.1720627334318,283.396626074443,143.566714589497,427.892612798641,12.68,100,"Distance 200",653,298,22.4506128536916
"P11",447.741172287993,63.395608170813,450.073880189098,263.843166942873,622.763715906279,958.761752579637,65.9953429345045,953.074263550294,811.742960390261,1131.45175811383,12.66,100,"Distance 200",466,971,21.9808891844431
"P12",224.792059974886,42.7025771580408,228.999489794381,119.345628687194,327.27425762181,853.723334246835,48.8438117018434,858.970459361277,650.574968786794,965.668679342135,12.91,100,"Distance 200",224,871,17.2948124751439
"P13",702.847071189243,76.5149066834099,707.007726462646,513.641938754551,892.959125756343,402.043700411876,86.4153954640467,416.232462775687,194.422790575301,634.433266951432,12.56,100,"Distance 200",699,448,46.1170405443427
"P14",359.140525593139,51.6347507303851,366.154814959307,218.796810732867,464.864388888363,187.348458996651,47.6366301143582,189.63759832032,25.0872699408635,352.970417072471,12.72,100,"Distance 200",360,182,5.41707576972149
"P15",-13.0583036486334,43.2986784821094,-18.2639278138734,-91.8750974595035,159.385297424213,301.085855349155,33.3555501854771,299.764626310046,240.882065649494,400.348853899885,8.9,100,"Distance 200",13,319,31.622013971532
"P16",575.484315616761,40.1361796537953,577.96690853741,464.545759422134,646.335473088288,919.275510945863,25.9863453181413,920.506566778859,861.840620757407,1011.91792864275,12.97,100,"Distance 200",571,896,23.7035545085899
"P17",177.559100664921,30.9125783490858,178.724654434555,96.4958221702525,254.920250462873,344.945872625055,31.2011530259174,347.9622590612,252.811820490025,440.456502503148,12.49,100,"Distance 200",163,339,15.7264367688514
"P18",232.401385686148,47.8536806920045,233.755463021776,57.1408957735885,374.00316755002,65.5490017873229,56.3668446440952,68.1625989498587,-84.4324444443413,204.966738853537,11.68,100,"Distance 200",227,79,14.4949756898025
"P19",345.493760474006,54.5746765284717,345.225702291468,94.352586296763,507.311662519348,529.522287665339,60.2788624584366,528.883949627508,414.827065484362,777.9218726718,12.56,100,"Distance 200",340,533,6.50199102032592
"P2",525.021082462658,37.0812803883949,524.478552420223,440.365453026804,640.456495874073,482.480874089033,46.6272055917204,485.251137396681,357.333217253238,576.461666429187,12.95,100,"Distance 200",519,496,14.7993310463249
"P20",281.793964271724,40.399955100794,282.622986253713,170.265337854764,411.517943142007,622.397805402405,44.7599972807611,620.210786587547,496.271416921119,748.140022650482,12.7,100,"Distance 200",291,619,9.81306146841586
"P21",319.99377077446,59.9997456884408,319.959119662832,143.769814237942,494.526465313264,469.825732974535,62.6680544806022,468.982950318848,207.354943692079,620.585578208404,12.87,100,"Distance 200",285,474,35.241857190213
"P22",135.246211565778,24.3876132410414,136.837666243756,73.5371685115629,201.131704234323,624.635886914323,35.5364899309425,621.935975364322,541.614699892611,705.781073409002,12.19,100,"Distance 200",126,608,19.0327392076204
"P23",1174.2983438055,61.9193567913257,1176.68070854234,1012.2773874252,1287.44207701776,37.1724278570674,65.8839271959764,45.9057437444245,-129.973200634141,163.821996376265,8.59,100,"Distance 200",1150,42,24.7732711704712
"P24",593.384857412819,33.3632722195786,587.123177547115,528.090191975224,674.536338351568,1127.62423306814,34.9325222018987,1127.19785957275,1050.9491168169,1213.26139869803,11.5,100,"Distance 200",583,1114,17.1308198922146
