FID,Proofed,SPECIES,DATE,STATE,TIME,SITE,RECAP,BAND_PR,BAND_N,L,R,AGE,SEX,WT,FAT,BM,BILL_L,BILL_W,BILL_D,WING,TARS,TAIL,CP,BP,FEATHER,FECAL,AUX_TAG_NO,AUX_TAG_TYPE,LOC,BANDER,NOTES,PHOTO_1,
32,y,PABU,6/6/2023,GA,7:45,LSSI,Y,2881,71355,YB,YA,ASY,M,-,-,-,-,-,-,-,-,-,-,-,N,Y,-,-,BassCrk,DJK,-,,
33,y,PABU,6/7/2023,GA,7:20,LSSI,Y,2881,71340,RW,WA,ASY,F,16,1,-,-,-,-,64,18.52,49,-,3,N,N,19662A55,CTT PowerTag,MosCrk,DJK,Retrieved CTT PowerTag 521E3334 off of RWWA. Antenna had broken off.,,
34,y,PABU,6/7/2023,GA,7:50,LSSI,Y,2881,71341,GW,KA,SY,M,-,1,-,-,-,-,67,18.45,51,2,-,N,Y,-,-,MosCrk,DJK,-,,
35,y,PABU,6/7/2023,GA,7:50,LSSI,Y,2881,71345,GG,RA,SY,F,15.4,1,-,-,-,-,64,19.33,49,-,3,Y,N,-,-,MosCrk,DJK,-,,
36,y,PABU,6/7/2023,GA,8:10,LSSI,Y,2881,71327,YO,YA,ASY,M,13.9,0,-,-,-,-,67,17.07,55,2,-,Y,Y,-,-,MosCrk,DJK,-,,
37,y,PABU,6/7/2023,GA,9:00,LSSI,Y,2881,71361,BY,OA,SY,M,16.7,0,-,-,-,-,67,18.5,54,2,-,N,Y,-,-,MosCrk,DJK,-,,
38,y,PABU,6/7/2023,GA,9:05,LSSI,Y,2881,71339,OB,BA,ASY,F,-,0,-,-,-,-,66,19.09,51,-,3,N,Y,-,-,MosCrk,DJK,-,,
39,y,PABU,6/7/2023,GA,11:05,LSSI,Y,2881,71340,RW,WA,ASY,F,-,-,-,-,-,-,-,-,-,-,-,Y,Y,19662A55,CTT PowerTag,MosCrk,DJK,-,,
40,y,PABU,6/21/2023,GA,7:03,LSSI,Y,2881,30008,-,A,ASY,M,15.9,0,-,-,-,-,68,23.68,57,3,-,N,N,-,-,LB,RJC,-,,
41,y,PABU,6/21/2023,GA,7:03,LSSI,Y,2881,71333,BB,BA,SY,F,13.4,0,-,-,-,-,65,20.32,53,-,2,N,Y,-,-,LB,AJF,-,,
