"n.est.tests","avg.no.nodes","avg.diff","sd.diff","lower.ci","upper.ci","med.diff","min.diff","max.dist","filter"
13,5.76923076923077,101.429635830779,79.7732657656385,58.065191427011,144.794080234547,65.1487739227354,17.5749860612649,228.240142390925,"Distance 187.5"
13,9.23076923076923,101.536745934429,79.1971227096388,58.4854907085225,144.588001160335,72.7243208854928,12.8880703445601,232.070650560861,"Distance 300"
13,11.7692307692308,92.7773764962553,68.7310806868582,55.4154219786557,130.139331013855,104.010949572972,12.4491616878457,256.366699924422,"Distance 450"
13,13.6153846153846,103.645742850445,66.6860414543332,67.3954638954691,139.89602180542,105.469570386659,15.4388162601547,256.366699924422,"Distance 600"
