"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy"
"376F3F","27",-108.777777777778,1.20185042515466,9,922.835304916321,473467,3457876,473014,3457072
"376F3F","53",-97.5,1.24316312101612,12,349.927135272474,473467,3457876,473199,3457651
"376F3F","65",-77.6666666666667,0.492365963917331,12,96.3379468330107,473467,3457876,473372,3457860
"376F3F","67",-67.75,1.13818036595899,12,59.0762219509677,473467,3457876,473408,3457879
"376F3F","71",-78.1666666666667,0.577350269189626,12,162.003086390352,473467,3457876,473338,3457974
"376F3F","74",-76.4166666666667,0.90033663737852,12,161.307160411434,473467,3457876,473315,3457930
"376F3F","91",-90.6363636363636,0.924416277737175,11,305.144228193817,473467,3457876,473339,3457599
"3775FB","9",-89.8333333333333,1.80067327475704,12,281.703745094026,472839,3456962,472945,3456701
"3775FB","11",-100.8,4.93963561409139,10,268.92749952357,472839,3456962,472980,3456733
"3775FB","20",-81.6666666666667,7.76159933534476,12,100.801785698469,472839,3456962,472899,3457043
"3775FB","24",-96.2727272727273,0.646669790682863,11,229.688920063637,472839,3456962,473065,3457003
"3775FB","27",-105,2.60768096208106,11,206.700266085944,472839,3456962,473014,3457072
"3775FB","53",-105.583333333333,1.62135371797393,12,777.380859038863,472839,3456962,473199,3457651
"3775FB","65",-107.5,0.707106781186548,2,1044.2667283793,472839,3456962,473372,3457860
"3775FB","71",-107.636363636364,0.674199862463242,11,1128.33727227279,472839,3456962,473338,3457974
"3775FB","91",-107.363636363636,1.02691063610494,11,809.795653236049,472839,3456962,473339,3457599
"3775FB","106",-68.9090909090909,0.700649049745371,11,121.103261723209,472839,3456962,472960,3456957
"3777FD","9",-85.5833333333333,1.72986249234563,12,141.795627577158,473086,3456716,472945,3456701
"3777FD","11",-80,2.08893187146837,12,107.354552767919,473086,3456716,472980,3456733
"3777FD","20",-91.8333333333333,1.26730446462585,12,376.693509368027,473086,3456716,472899,3457043
"3777FD","24",-82,0.707106781186548,9,287.767267075323,473086,3456716,473065,3457003
"3777FD","27",-84.75,1.21543108701099,12,363.20792942886,473086,3456716,473014,3457072
"3777FD","28",-84.1666666666667,0.389249472080761,12,390.786386661562,473086,3456716,473019,3457101
"3777FD","53",-111,NA,1,941.803588865534,473086,3456716,473199,3457651
"3777FD","65",-105.714285714286,1.70433620649269,7,1179.20820892665,473086,3456716,473372,3457860
"3777FD","67",-107,2.82842712474619,2,1206.75308162026,473086,3456716,473408,3457879
"3777FD","71",-104.833333333333,1.58592292219752,12,1282.99181603002,473086,3456716,473338,3457974
"3777FD","74",-102.666666666667,1,9,1235.4096486591,473086,3456716,473315,3457930
"3777FD","91",-96.25,0.965307299163423,12,918.530347892763,473086,3456716,473339,3457599
"3777FD","106",-79.1818181818182,1.16774841624228,11,271.950363117978,473086,3456716,472960,3456957
"377990","9",-99.25,4.02548698352702,12,407.019655545036,472941,3457108,472945,3456701
"377990","11",-95.25,3.3878123807662,12,377.022545744946,472941,3457108,472980,3456733
"377990","20",-92.0909090909091,10.2416262913128,11,77.3886296557834,472941,3457108,472899,3457043
"377990","24",-81.5454545454545,1.12815214963553,11,162.483845350853,472941,3457108,473065,3457003
"377990","27",-86.4166666666667,2.42930342928074,12,81.3941029804985,472941,3457108,473014,3457072
"377990","28",-86.5,0.849836585598797,10,78.3134726595622,472941,3457108,473019,3457101
"377990","53",-102.181818181818,1.07871977994119,11,601.176346840093,472941,3457108,473199,3457651
"377990","65",-109.25,1.5,4,866.755444170961,472941,3457108,473372,3457860
"377990","71",-103.833333333333,0.937436866561092,12,952.662059704279,472941,3457108,473338,3457974
"377990","74",-108.75,0.5,4,903.08360631782,472941,3457108,473315,3457930
"377990","91",-102.3,0.483045891539648,10,632.048257651265,472941,3457108,473339,3457599
"377990","106",-75.8333333333333,0.937436866561092,12,152.190669884852,472941,3457108,472960,3456957
"377A13","9",-108,3.36650164612069,4,934.739001005093,473201,3457600,472945,3456701
"377A13","11",-106.545454545455,2.20742548520381,11,894.723420951972,473201,3457600,472980,3456733
"377A13","20",-109,NA,1,633.603188123292,473201,3457600,472899,3457043
"377A13","24",-102.454545454545,0.820199532264724,11,612.294863607396,473201,3457600,473065,3457003
"377A13","27",-100.363636363636,0.504524979109513,11,560.136590484857,473201,3457600,473014,3457072
"377A13","28",-110,NA,1,531.154403163525,473201,3457600,473019,3457101
"377A13","53",-80.6666666666667,10.2188180541706,12,51.0392006206994,473201,3457600,473199,3457651
"377A13","65",-96.4166666666667,0.792961461098759,12,311.192866242142,473201,3457600,473372,3457860
"377A13","67",-106.090909090909,3.75378596764774,11,347.404663181138,473201,3457600,473408,3457879
"377A13","71",-100.636363636364,1.12006493318265,11,398.302648748411,473201,3457600,473338,3457974
"377A13","74",-92.75,3.04884478867891,12,349.136076623428,473201,3457600,473315,3457930
