"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy"
"339E4D","4",-105.818181818182,2.27236360726807,11,906.108161314089,473336,3457595,472922,3456789
"339E4D","6",-111,NA,1,953.927146065149,473336,3457595,472915,3456739
"339E4D","7",-110,1.73205080756888,3,977.325431982612,473336,3457595,472915,3456713
"339E4D","8",-106.75,2.05049883066181,12,972.200082287592,473336,3457595,472938,3456708
"339E4D","12",-103.416666666667,0.668557923421521,12,898.813662557485,473336,3457595,472957,3456780
"339E4D","13",-105.916666666667,1.62135371797393,12,874.164744198712,473336,3457595,472966,3456803
"339E4D","15",-106.545454545455,2.20742548520381,11,804.351291414392,473336,3457595,472841,3456961
"339E4D","17",-100.916666666667,2.50302846870576,12,784.801885828519,473336,3457595,472851,3456978
"339E4D","21",-104,1.15470053837925,10,705.538801200898,473336,3457595,472960,3456998
"339E4D","22",-96.4545454545455,0.522232967867094,11,669.62452165374,473336,3457595,473062,3456984
"339E4D","23",-105.666666666667,1.86189867250253,6,659.775719468366,473336,3457595,473066,3456993
"339E4D","25",-97.1666666666667,0.717740562565273,12,634.622722568299,473336,3457595,473047,3457030
"339E4D","26",-108.625,2.26384628453435,8,627.373094737095,473336,3457595,473027,3457049
"339E4D","27",-95.4545454545455,0.522232967867094,11,614.176684676323,473336,3457595,473014,3457072
"339E4D","30",-96.4545454545455,1.43969693780576,11,625.97923288237,473336,3457595,472933,3457116
"339E4D","31",-109,NA,1,629.539514248312,473336,3457595,472924,3457119
"339E4D","32",-94.5833333333333,0.514928650544437,12,635.897004238894,473336,3457595,472898,3457134
"339E4D","35",-108.666666666667,1.15470053837925,3,674.33003788946,473336,3457595,472825,3457155
"339E4D","36",-87,1.59544807043493,12,188.223271674891,473336,3457595,473198,3457467
"339E4D","38",-75.5,2.46797672009059,12,178.044938147649,473336,3457595,473196,3457485
"339E4D","39",-69,1.27920429813366,12,145.907504947484,473336,3457595,473216,3457512
"339E4D","40",-72.3333333333333,7.48736309127626,12,117.889779031093,473336,3457595,473239,3457528
"339E4D","41",-72.0833333333333,2.23437334445796,12,94.5145491445629,473336,3457595,473254,3457548
"339E4D","42",-68.7272727272727,5.36825686961623,11,74,473336,3457595,473266,3457571
"339E4D","43",-90.1666666666667,2.24957908520818,12,151.330763561148,473336,3457595,473487,3457585
"339E4D","47",-92.0833333333333,4.99924236684162,12,115.965512114594,473336,3457595,473434,3457533
"339E4D","48",-98.6666666666667,6.19872909750397,12,112.432201792903,473336,3457595,473416,3457516
"339E4D","49",-91.1666666666667,1.02985730108887,12,125.363471553719,473336,3457595,473406,3457491
"339E4D","50",-86.9166666666667,0.90033663737852,12,137.131323919811,473336,3457595,473199,3457601
"339E4D","51",-95.5454545454545,3.6976651109487,11,50.6951674225463,473336,3457595,473287,3457608
"339E4D","53",-77.3333333333333,0.492365963917331,12,148.00337833982,473336,3457595,473199,3457651
"339E4D","54",-83.2727272727273,2.14899553703162,11,99.0454441153151,473336,3457595,473255,3457652
"339E4D","56",-80.1666666666667,0.717740562565273,12,130.698125464752,473336,3457595,473267,3457706
"339E4D","57",-80.4166666666667,1.24011240937215,12,138.311243216161,473336,3457595,473317,3457732
"339E4D","59",-82.5454545454545,1.12815214963553,11,151.013244452266,473336,3457595,473334,3457746
"339E4D","60",-94.8333333333333,3.8573031873043,12,180.277563773199,473336,3457595,473346,3457775
"339E4D","61",-94.1818181818182,1.77866139656663,11,208,473336,3457595,473336,3457803
"339E4D","62",-95.4166666666667,5.74390322362975,12,232.174503337468,473336,3457595,473345,3457827
"339E4D","63",-94,1.4142135623731,12,253.954720373534,473336,3457595,473358,3457848
"339E4D","64",-97,2.79610118167813,12,262.834548718391,473336,3457595,473367,3457856
"339E4D","67",-101.636363636364,1.96329963442809,11,292.98464123568,473336,3457595,473408,3457879
"339E4D","68",-95.75,1.54478595163331,12,322.342985033023,473336,3457595,473417,3457907
"339E4D","69",-102.166666666667,2.03752672412294,12,342.18708333308,473336,3457595,473440,3457921
"339E4D","72",-98.9166666666667,0.90033663737852,12,370,473336,3457595,473336,3457965
"339E4D","73",-94.5454545454545,1.03572548135463,11,369.30475220338,473336,3457595,473321,3457964
"339E4D","74",-91.3,1.25166555703457,10,335.657563597188,473336,3457595,473315,3457930
"339E4D","75",-93.6666666666667,2.08166599946613,3,317.823850583936,473336,3457595,473302,3457911
"339E4D","76",-93.4545454545455,1.03572548135463,11,304.384625104488,473336,3457595,473279,3457894
"339E4D","77",-90.8181818181818,1.07871977994119,11,285.707892785621,473336,3457595,473266,3457872
"339E4D","78",-95.6363636363636,1.02691063610494,11,310.942116799896,473336,3457595,473467,3457877
"339E4D","79",-89.8181818181818,0.750757193529548,11,309.095454512033,473336,3457595,473458,3457879
"339E4D","81",-87.1818181818182,0.404519917477945,11,266.390690528029,473336,3457595,473428,3457845
"339E4D","82",-98.5,2.6798914496334,12,241.298570240273,473336,3457595,473415,3457823
"339E4D","83",-85.75,1.54478595163331,12,216.31458573106,473336,3457595,473402,3457801
"339E4D","84",-83.5454545454545,3.88236104358254,11,191.481069560414,473336,3457595,473389,3457779
"339E4D","85",-76.6363636363636,1.20604537831105,11,119.436175424366,473336,3457595,473312,3457478
"339E4D","87",-73.5454545454545,0.687551650952329,11,109.444049632678,473336,3457595,473299,3457492
"339E4D","89",-64.2222222222222,0.440958551844098,9,47.0956473572665,473336,3457595,473333,3457548
"339E4D","90",-61,0.942809041582063,10,23.8537208837531,473336,3457595,473323,3457575
"339E4D","91",-43.9090909090909,0.831209414593634,11,5,473336,3457595,473339,3457599
"339E4D","92",-91.9,0.316227766016838,10,464.00969817451,473336,3457595,473080,3457208
"339E4D","93",-90,0,11,473.177556526089,473336,3457595,473077,3457199
"339E4D","95",-100.363636363636,1.6292775867069,11,512.640224719052,473336,3457595,473060,3457163
"339E4D","97",-99.0833333333333,0.90033663737852,12,562.745057730408,473336,3457595,473025,3457126
"339E4D","98",-100.5,0.522232967867094,12,587.205245208181,473336,3457595,473017,3457102
"339E4D","101",-108.181818181818,1.07871977994119,11,896.959865322858,473336,3457595,472835,3456851
"339E4D","104",-108.8,0.918936583472681,10,825.787502932807,473336,3457595,472906,3456890
"339E4D","105",-103.916666666667,1.62135371797393,12,813.419940744017,473336,3457595,472932,3456889
"339E4D","106",-107.4,1.42984070596848,10,740.553846793061,473336,3457595,472960,3456957
"339E4D","109",-107,0.816496580927726,10,702.829282258501,473336,3457595,472951,3457007
"339E4D","110",-106.3,0.674948557710553,10,695.287710232246,473336,3457595,472935,3457027
"339E4D","111",-109,NA,1,697.877496413231,473336,3457595,472909,3457043
"339E4D","112",-104.416666666667,0.90033663737852,12,699.211698986795,473336,3457595,472887,3457059
"339E4D","113",-102.166666666667,0.937436866561092,12,530.397963796996,473336,3457595,472967,3457214
"339E4D","115",-102.666666666667,0.65133894727893,12,550.847528813555,473336,3457595,472949,3457203
"339E4D","116",-102.444444444444,1.0137937550497,9,858.676306881703,473336,3457595,472946,3456830
"339E4D","117",-102.454545454545,0.820199532264724,11,862.675489393318,473336,3457595,472951,3456823
"339E4D","119",-101.777777777778,2.38630351054606,9,866.400600184464,473336,3457595,472987,3456802
"339E4D","122",-105.5,2.1380899352994,8,910.745299191821,473336,3457595,473025,3456739
"339FBA","4",-102.7,2.31180545125329,10,977.10030191378,473209,3457723,472922,3456789
"339FBA","5",-101.5,7.77817459305202,2,1002.39164002899,473209,3457723,472914,3456765
"339FBA","6",-106,NA,1,1026.98198621008,473209,3457723,472915,3456739
"339FBA","7",-102.818181818182,0.873862897505303,11,1051.92014906075,473209,3457723,472915,3456713
"339FBA","8",-105.714285714286,1.60356745147455,7,1050.55509136837,473209,3457723,472938,3456708
"339FBA","9",-102,0.816496580927726,4,1055.54725142932,473209,3457723,472945,3456701
"339FBA","12",-96.4166666666667,0.668557923421521,12,976.090672017718,473209,3457723,472957,3456780
"339FBA","13",-98.2,0.836660026534076,5,951.550839419524,473209,3457723,472966,3456803
"339FBA","14",-107.666666666667,2.51661147842358,3,940.394066336023,473209,3457723,473019,3456802
"339FBA","15",-98.8181818181818,2.56195947736032,11,846.208012252307,473209,3457723,472841,3456961
"339FBA","16",-106.2,1.22927259430572,10,836.39703490627,473209,3457723,472847,3456969
"339FBA","17",-96.9090909090909,1.75809814598307,11,826.55247867271,473209,3457723,472851,3456978
"339FBA","21",-102.272727272727,0.467099366496914,11,766.56767476851,473209,3457723,472960,3456998
"339FBA","22",-102.181818181818,0.603022689155527,11,753.478599563385,473209,3457723,473062,3456984
"339FBA","25",-95.8333333333333,1.11464085804543,12,711.683216044892,473209,3457723,473047,3457030
"339FBA","26",-101.090909090909,3.20794468326826,11,698.140387028282,473209,3457723,473027,3457049
"339FBA","27",-89.8,0.421637021355784,10,679.577810114486,473209,3457723,473014,3457072
"339FBA","30",-91.7272727272727,1.1908743922773,11,666.802069582871,473209,3457723,472933,3457116
"339FBA","31",-97.75,2.18762754730194,8,667.863009905475,473209,3457723,472924,3457119
"339FBA","32",-100.083333333333,0.514928650544437,12,666.064561435301,473209,3457723,472898,3457134
"339FBA","36",-83.2727272727273,0.467099366496914,11,256.236219141635,473209,3457723,473198,3457467
"339FBA","38",-80.6363636363636,0.924416277737175,11,238.354777590045,473209,3457723,473196,3457485
"339FBA","39",-83.1666666666667,1.94624736040381,12,211.116081812826,473209,3457723,473216,3457512
"339FBA","40",-78.75,1.21543108701099,12,197.294196569489,473209,3457723,473239,3457528
"339FBA","41",-91.9090909090909,5.97418689788904,11,180.693109995927,473209,3457723,473254,3457548
"339FBA","42",-85.1818181818182,3.99545195987092,11,162.336071161033,473209,3457723,473266,3457571
"339FBA","43",-107.8,0.447213595499958,5,310.367524074282,473209,3457723,473487,3457585
"339FBA","47",-106.333333333333,1.72328087371066,12,294.491086452544,473209,3457723,473434,3457533
"339FBA","48",-106.8,1.78885438199983,5,292.742207411231,473209,3457723,473416,3457516
"339FBA","49",-105.909090909091,1.04446593573419,11,304.356698628435,473209,3457723,473406,3457491
"339FBA","50",-67.1666666666667,0.389249472080761,12,122.409149984795,473209,3457723,473199,3457601
"339FBA","51",-71.7272727272727,0.467099366496914,11,138.956827827926,473209,3457723,473287,3457608
"339FBA","53",-76.6666666666667,3.96194014303216,12,72.691127381545,473209,3457723,473199,3457651
"339FBA","54",-79.5,1.24316312101612,12,84.5990543682375,473209,3457723,473255,3457652
"339FBA","56",-83.8181818181818,0.873862897505303,11,60.4400529450463,473209,3457723,473267,3457706
"339FBA","57",-76.4545454545455,1.43969693780576,11,108.374351209131,473209,3457723,473317,3457732
"339FBA","59",-94.9090909090909,6.20410421341462,11,127.09838708654,473209,3457723,473334,3457746
"339FBA","60",-73.3333333333333,2.87096225026109,12,146.536684826701,473209,3457723,473346,3457775
"339FBA","61",-70.75,0.753778361444409,12,150.096635538576,473209,3457723,473336,3457803
"339FBA","62",-77.0833333333333,5.85364429352788,12,171.207476472262,473209,3457723,473345,3457827
"339FBA","63",-79.5833333333333,4.16606056197706,12,194.489074243259,473209,3457723,473358,3457848
"339FBA","64",-76.75,1.35680105059994,12,206.526027415433,473209,3457723,473367,3457856
"339FBA","67",-87.25,3.13702232872339,12,252.857667473225,473209,3457723,473408,3457879
"339FBA","68",-88.9166666666667,5.28218848125615,12,277.704879323357,473209,3457723,473417,3457907
"339FBA","69",-92,5.41602560309064,7,304.244967090665,473209,3457723,473440,3457921
"339FBA","72",-74,0.852802865422442,12,273.30020124398,473209,3457723,473336,3457965
"339FBA","73",-82.6666666666667,0.65133894727893,12,265.753645318366,473209,3457723,473321,3457964
"339FBA","74",-86.0833333333333,2.74551976643381,12,232.561819738322,473209,3457723,473315,3457930
"339FBA","75",-80,9.89949493661167,2,209.745083375034,473209,3457723,473302,3457911
"339FBA","76",-73.9090909090909,1.300349603341,11,184.772833501032,473209,3457723,473279,3457894
"339FBA","77",-73.0909090909091,0.943879807448539,11,159.530561335438,473209,3457723,473266,3457872
"339FBA","78",-89.4,0.843274042711568,10,300.466304267217,473209,3457723,473467,3457877
"339FBA","79",-85.1818181818182,0.404519917477945,11,293.831584415291,473209,3457723,473458,3457879
"339FBA","81",-84.2727272727273,0.467099366496914,11,250.68905041904,473209,3457723,473428,3457845
"339FBA","82",-82.4166666666667,0.668557923421521,12,228.989082709198,473209,3457723,473415,3457823
"339FBA","83",-82.8333333333333,0.577350269189626,12,208.165799304305,473209,3457723,473402,3457801
"339FBA","84",-87.5,3.20589734361189,10,188.509946687171,473209,3457723,473389,3457779
"339FBA","85",-89.25,0.753778361444409,12,265.770577754574,473209,3457723,473312,3457478
"339FBA","87",-87.1,0.737864787372622,10,247.913291293549,473209,3457723,473299,3457492
"339FBA","89",-89.0909090909091,0.700649049745371,11,214.478437144623,473209,3457723,473333,3457548
"339FBA","90",-83.9090909090909,0.539359889970594,11,186.815416922694,473209,3457723,473323,3457575
"339FBA","91",-92.0909090909091,1.13618180363404,11,179.655225362359,473209,3457723,473339,3457599
"339FBA","92",-88.6363636363636,0.504524979109513,11,530.910538603257,473209,3457723,473080,3457208
"339FBA","93",-89.5833333333333,0.668557923421521,12,540.370243444252,473209,3457723,473077,3457199
"339FBA","95",-96,1.89736659610103,11,579.483390616159,473209,3457723,473060,3457163
"339FBA","97",-96.2727272727273,0.646669790682863,11,624.711933614206,473209,3457723,473025,3457126
"339FBA","98",-98,0.632455532033676,11,650.003846142467,473209,3457723,473017,3457102
"339FBA","99",-105.666666666667,1.36626010212795,6,961.634545968478,473209,3457723,472819,3456844
"339FBA","100",-107.714285714286,0.951189731211342,7,955.552719634035,473209,3457723,472825,3456848
"339FBA","101",-103.454545454545,1.21355975243384,11,948.820320187126,473209,3457723,472835,3456851
"339FBA","102",-97.0909090909091,0.700649049745371,11,932.751306619294,473209,3457723,472865,3456856
"339FBA","104",-101.909090909091,0.700649049745371,11,886.396073998526,473209,3457723,472906,3456890
"339FBA","105",-107.142857142857,0.690065559342354,7,878.797473824316,473209,3457723,472932,3456889
"339FBA","109",-96.6666666666667,0.492365963917331,12,761.065043212471,473209,3457723,472951,3457007
"339FBA","110",-103.272727272727,0.904534033733291,11,747.991978566615,473209,3457723,472935,3457027
"339FBA","111",-103.5,0.797724035217466,12,743.236167042482,473209,3457723,472909,3457043
"339FBA","112",-104.25,1.13818036595899,12,737.956638292522,473209,3457723,472887,3457059
"339FBA","113",-94.1666666666667,1.11464085804543,12,563.600035486159,473209,3457723,472967,3457214
"339FBA","115",-89.8,0.421637021355784,10,581.377674149945,473209,3457723,472949,3457203
"339FBA","116",-94.6,3.50238014308365,10,930.92319769141,473209,3457723,472946,3456830
"339FBA","117",-97.8181818181818,4.4680685271867,11,936.249966622162,473209,3457723,472951,3456823
"339FBA","119",-99.7,3.86005181312376,10,947.377960478288,473209,3457723,472987,3456802
"339FBA","122",-100.625,3.58319490319543,8,1001.05544302002,473209,3457723,473025,3456739
"375E07","4",-106,2.10818510677892,10,1257.17341683636,473339,3457975,472922,3456789
"375E07","5",-103,NA,1,1282.46832319555,473339,3457975,472914,3456765
"375E07","8",-111,4.24264068711928,2,1328.94318915445,473339,3457975,472938,3456708
"375E07","9",-109.333333333333,1.52752523165195,3,1333.53365161889,473339,3457975,472945,3456701
"375E07","12",-107.333333333333,1.11803398874989,9,1254.57124150046,473339,3457975,472957,3456780
"375E07","13",-106.75,1.25830573921179,4,1229.92398139072,473339,3457975,472966,3456803
"375E07","15",-105.666666666667,3.46410161513775,9,1129.69022302576,473339,3457975,472841,3456961
"375E07","17",-102.363636363636,0.504524979109513,11,1110.02387361714,473339,3457975,472851,3456978
"375E07","21",-109.5,0.577350269189626,4,1047.93606675217,473339,3457975,472960,3456998
"375E07","22",-104.3,0.674948557710553,10,1028.98493672162,473339,3457975,473062,3456984
"375E07","25",-104.916666666667,1.24011240937215,12,989.084930630328,473339,3457975,473047,3457030
"375E07","26",-106,1,3,977.148913932774,473339,3457975,473027,3457049
"375E07","27",-97.6666666666667,0.492365963917331,12,959.705163057905,473339,3457975,473014,3457072
"375E07","30",-99,0.632455532033676,11,950.114203661855,473339,3457975,472933,3457116
"375E07","31",-107.285714285714,0.487950036474267,7,951.294381356266,473339,3457975,472924,3457119
"375E07","32",-106.666666666667,0.778498944161523,12,949.611499509141,473339,3457975,472898,3457134
"375E07","36",-92.0833333333333,0.514928650544437,12,527.204893755739,473339,3457975,473198,3457467
"375E07","38",-94.0909090909091,0.831209414593634,11,510.440006269101,473339,3457975,473196,3457485
"375E07","39",-94.1666666666667,1.52752523165195,12,479.059495261288,473339,3457975,473216,3457512
"375E07","40",-88,1.27920429813366,12,458.049124003092,473339,3457975,473239,3457528
"375E07","41",-93.6,7.4565407529229,10,435.377996687936,473339,3457975,473254,3457548
"375E07","42",-90.4166666666667,1.24011240937215,12,410.542324249279,473339,3457975,473266,3457571
"375E07","43",-94.4166666666667,0.514928650544437,12,417.137866897744,473339,3457975,473487,3457585
"375E07","47",-102.833333333333,1.74945879077104,12,452.094016770848,473339,3457975,473434,3457533
"375E07","48",-100.583333333333,2.06522432562458,12,465.413794380871,473339,3457975,473416,3457516
"375E07","49",-101,0,2,488.615390670413,473339,3457975,473406,3457491
"375E07","50",-91.1666666666667,1.11464085804543,12,399.344462838788,473339,3457975,473199,3457601
"375E07","51",-92.0833333333333,0.514928650544437,12,370.66561750451,473339,3457975,473287,3457608
"375E07","53",-90.9,1.52388392675499,10,352.953254695292,473339,3457975,473199,3457651
"375E07","54",-85.75,0.452267016866645,12,333.743913802185,473339,3457975,473255,3457652
"375E07","56",-81.7272727272727,0.646669790682863,11,278.469028798536,473339,3457975,473267,3457706
"375E07","57",-80.1818181818182,1.16774841624228,11,243.993852381571,473339,3457975,473317,3457732
"375E07","59",-74.0833333333333,0.288675134594813,12,229.054578648845,473339,3457975,473334,3457746
"375E07","60",-87.1818181818182,4.09434199397612,11,200.122462507336,473339,3457975,473346,3457775
"375E07","61",-82.25,4.47467621987639,12,172.026160801199,473339,3457975,473336,3457803
"375E07","62",-78.5833333333333,1.72986249234563,12,148.121571690284,473339,3457975,473345,3457827
