"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"339E4D","19",-100.909090909091,0.539359889970594,11,734.036783819449,473336,3457595,472865,3457032,506.821959018424
"339E4D","20",-103,0,3,704.040481790643,473336,3457595,472899,3457043,688.712924506996
"339E4D","24",-101.083333333333,0.668557923421521,12,651.079872212312,473336,3457595,473065,3457003,516.7939609148
"339E4D","36",-87,1.59544807043493,12,188.223271674891,473336,3457595,473198,3457467,199.678847565958
"339E4D","51",-95.5454545454545,3.6976651109487,11,50.6951674225463,473336,3457595,473287,3457608,327.905737557909
"339E4D","53",-77.3333333333333,0.492365963917331,12,148.00337833982,473336,3457595,473199,3457651,116.16987407054
"339E4D","65",-103,2.67261241912424,8,267.434104033124,473336,3457595,473372,3457860,688.712924506996
"339E4D","67",-101.636363636364,1.96329963442809,11,292.98464123568,473336,3457595,473408,3457879,552.482255217595
"339E4D","68",-95.75,1.54478595163331,12,322.342985033023,473336,3457595,473417,3457907,332.359152776199
"339E4D","71",-97.9090909090909,0.943879807448539,11,379.005277008118,473336,3457595,473338,3457974,387.206073895728
"339E4D","74",-91.3,1.25166555703457,10,335.657563597188,473336,3457595,473315,3457930,253.458057649897
"339E4D","81",-87.1818181818182,0.404519917477945,11,266.390690528029,473336,3457595,473428,3457845,201.666906244503
"339E4D","87",-73.5454545454545,0.687551650952329,11,109.444049632678,473336,3457595,473299,3457492,91.4485851316098
"339E4D","91",-43.9090909090909,0.831209414593634,11,5,473336,3457595,473339,3457599,10
"339E4D","96",-96,0.447213595499958,11,536.981377703175,473336,3457595,473043,3457145,337.949525034173
"339E4D","107",-100,0.816496580927726,4,735.158486314346,473336,3457595,472969,3456958,461.957196786657
"339E4D","114",-99.6363636363636,0.80903983495589,11,540.948241516691,473336,3457595,472956,3457210,446.634227434863
"339FBA","9",-102,0.816496580927726,4,1055.54725142932,473209,3457723,472945,3456701,580.282352617938
