"NodeId","TestId","avgRSS","sdRSS","n.det","distance","NodeUTMx","NodeUTMy","TestUTMx","TestUTMy","e.dist"
"339E4D","19",-100.909090909091,0.539359889970594,11,734.036783819449,473336,3457595,472865,3457032,504.884257753186
"339E4D","20",-103,0,3,704.040481790643,473336,3457595,472899,3457043,716.049270722127
"339E4D","24",-101.083333333333,0.668557923421521,12,651.079872212312,473336,3457595,473065,3457003,515.499311139261
"339E4D","33",-102.3,2.21359436211787,10,641.393015241046,473336,3457595,472877,3457147,615.262661847835
"339E4D","37",-79.0833333333333,0.90033663737852,12,182.222391598837,473336,3457595,473198,3457476,129.200626779949
"339E4D","44",-90.5833333333333,7.62124224344912,12,144.779142144164,473336,3457595,473480,3457580,239.901726623023
"339E4D","45",-75.4166666666667,1.08362466945083,12,138.9172415505,473336,3457595,473473,3457572,104.685912942471
"339E4D","46",-86.5833333333333,1.44337567297406,12,121.840059093879,473336,3457595,473450,3457552,193.202386009558
"339E4D","52",-78.75,0.621581560508061,12,120.353645561736,473336,3457595,473217,3457613,126.827172170408
"339E4D","55",-76.0909090909091,0.539359889970594,11,108.466584716216,473336,3457595,473265,3457677,108.947787557641
"339E4D","58",-75.5833333333333,0.996204919895622,12,143.125818774951,473336,3457595,473330,3457738,105.729955308752
"339E4D","65",-103,2.67261241912424,8,267.434104033124,473336,3457595,473372,3457860,716.049270722127
"339E4D","66",-97.5,1.38169855941551,12,270.120343550796,473336,3457595,473383,3457861,370.065849568653
"339E4D","71",-97.9090909090909,0.943879807448539,11,379.005277008118,473336,3457595,473338,3457974,381.78872752537
"339E4D","80",-93.8333333333333,1.11464085804543,12,296.006756679641,473336,3457595,473448,3457869,289.627661657226
"339E4D","86",-77,0.666666666666667,10,114.017542509914,473336,3457595,473306,3457485,114.860584014255
"339E4D","88",-60.6666666666667,0.492365963917331,12,77.8267306264371,473336,3457595,473300,3457526,30.4384277840385
"339E4D","94",-93,1.61245154965971,11,482.901646300776,473336,3457595,473073,3457190,275.494801628831
"339E4D","96",-96,0.447213595499958,11,536.981377703175,473336,3457595,473043,3457145,332.68166999381
"339E4D","107",-100,0.816496580927726,4,735.158486314346,473336,3457595,472969,3456958,457.902777597915
"339E4D","114",-99.6363636363636,0.80903983495589,11,540.948241516691,473336,3457595,472956,3457210,442.107353095027
"339E4D","121",-103.714285714286,2.42997158517582,7,839.772588264228,473336,3457595,473043,3456808,983.181944676448
"339FBA","2",-101.1,4.84079883214882,10,937.712109338469,473209,3457723,472939,3456825,516.548632270554
"339FBA","3",-100.083333333333,1.56427928995103,12,947.578492790967,473209,3457723,472938,3456815,461.728824012615
"339FBA","11",-100.25,1.42222616792382,12,1016.14024622588,473209,3457723,472980,3456733,469.636803351173
"339FBA","19",-98.3636363636364,0.924416277737175,11,771.891831800285,473209,3457723,472865,3457032,395.788924776319
"339FBA","20",-102.2,5.89067059000926,5,747.328575661335,473209,3457723,472899,3457043,604.594808439066
"339FBA","24",-99.25,1.21543108701099,12,734.258809957361,473209,3457723,473065,3457003,426.731257593028
"339FBA","37",-88.5833333333333,3.17542648054294,12,247.244817943673,473209,3457723,473198,3457476,215.025162847687
"339FBA","46",-102,1.20604537831105,12,295.502961068075,473209,3457723,473450,3457552,585.004326060886
"339FBA","52",-78.8333333333333,0.834847109936722,12,110.290525431698,473209,3457723,473217,3457613,127.417575870219
"339FBA","55",-78.7272727272727,0.904534033733291,11,72.4706837279737,473209,3457723,473265,3457677,126.666492221213
"339FBA","58",-83,2.19089023002066,11,121.926207191071,473209,3457723,473330,3457738,159.753436628402
"339FBA","65",-80.25,1.13818036595899,12,212.927217612028,473209,3457723,473372,3457860,137.766135530588
"339FBA","66",-75,1.53741222957161,12,222.081066279861,473209,3457723,473383,3457861,102.102284420558
"339FBA","70",-88.75,3.51942660619079,12,327.200244498686,473209,3457723,473453,3457941,216.970476995392
"339FBA","71",-75,0,12,282.209142304072,473209,3457723,473338,3457974,102.102284420558
"339FBA","80",-81.7,0.674948557710553,10,280.066063634993,473209,3457723,473448,3457869,149.02045650935
"339FBA","86",-84.1818181818182,0.404519917477945,11,257.007781983348,473209,3457723,473306,3457485,170.106086664295
"339FBA","88",-90,4.32750190378615,12,217.002304135233,473209,3457723,473300,3457526,232.280161158306
"339FBA","94",-89.7,1.05934990547138,10,550.077267299786,473209,3457723,473073,3457190,228.483981786461
"339FBA","96",-96.3636363636364,0.674199862463242,11,601.365113720442,473209,3457723,473043,3457145,341.049813581014
"339FBA","103",-96.2727272727273,2.64918512342604,11,900.072219324649,473209,3457723,472878,3456886,338.920613317437
"339FBA","107",-102.363636363636,0.504524979109513,11,801.763680893566,473209,3457723,472969,3456958,622.399999878261
"339FBA","108",-98.6666666666667,0.778498944161523,12,786.142480724709,473209,3457723,472961,3456977,405.774063996641
"339FBA","114",-89.75,0.621581560508061,12,571.99475522071,473209,3457723,472956,3457210,229.111083486314
"339FBA","118",-100.25,4.80327269384412,8,942.320539943813,473209,3457723,472957,3456815,469.636803351173
"339FBA","120",-100.9,4.43345864484553,10,942.188940712,473209,3457723,473015,3456801,504.347427243899
"339FBA","121",-100.428571428571,5.68205194324324,7,929.936019304554,473209,3457723,473043,3456808,478.518558300644
"375E07","19",-102.666666666667,0.65133894727893,12,1055.42645409332,473339,3457975,472865,3457032,660.96991417241
"375E07","37",-98.1666666666667,3.56328074910885,12,518.538330309342,473339,3457975,473198,3457476,389.58655523606
"375E07","44",-98.2222222222222,4.43784231856478,9,419.41149245103,473339,3457975,473480,3457580,391.314173848439
"375E07","45",-101.571428571429,3.82348631736111,7,424.694007492453,473339,3457975,473473,3457572,549.123593268489
"375E07","46",-96.5,0.904534033733291,12,437.321392113398,473339,3457975,473450,3457552,344.292136767983
"375E07","52",-93.25,0.753778361444409,12,382.005235566216,473339,3457975,473217,3457613,279.618115958863
"375E07","55",-91,0.852802865422442,12,307.050484448405,473339,3457975,473265,3457677,245.552661313255
"375E07","58",-77.1666666666667,0.834847109936722,12,237.170824512628,473339,3457975,473330,3457738,115.966225704731
"375E07","65",-84.75,3.67114052131933,12,119.6411300515,473339,3457975,473372,3457860,175.306099303675
"375E07","66",-76,3.33030165163895,12,122.196562963121,473339,3457975,473383,3457861,108.367167123017
"375E07","70",-82.4545454545455,1.9679246105294,11,118.962178863704,473339,3457975,473453,3457941,155.171051960871
"375E07","71",-39,1.20604537831105,12,1.4142135623731,473339,3457975,473338,3457974,10
"375E07","80",-89.7,2.71006354989038,10,152.042757144167,473339,3457975,473448,3457869,228.483981786461
"375E07","86",-91.3636363636364,0.504524979109513,11,491.109967318929,473339,3457975,473306,3457485,250.635364308298
"375E07","88",-93.6666666666667,3.17184584439504,12,450.690581219532,473339,3457975,473300,3457526,286.709906024655
"375E07","94",-101.454545454545,1.36847625946791,11,828.84316972513,473339,3457975,473073,3457190,540.474579574758
"375E07","96",-101.3,0.674948557710553,10,881.201452563487,473339,3457975,473043,3457145,529.647997874788
"375E07","114",-100,1.15470053837925,10,855.51972507944,473339,3457975,472956,3457210,457.902777597915
"3763C0","3",-103.25,1.35680105059994,12,1085.87752532226,473211,3457866,472938,3456815,772.550933079357
"3763C0","19",-101.909090909091,0.700649049745371,11,902.924138563146,473211,3457866,472865,3457032,576.765638804725
"3763C0","20",-103.333333333333,0.577350269189626,3,880.155099968182,473211,3457866,472899,3457043,796.222853442424
"3763C0","24",-103.454545454545,0.522232967867094,11,875.262817672498,473211,3457866,473065,3457003,837.480818406822
"3763C0","37",-99.25,5.52884995439213,12,390.216606514895,473211,3457866,473198,3457476,426.731257593028
"3763C0","44",-100.333333333333,0.866025403784439,9,392.628322972248,473211,3457866,473480,3457580,473.726545938758
"3763C0","45",-101.285714285714,4.02965199962667,7,393.801980695882,473211,3457866,473473,3457572,528.67968305471
"3763C0","46",-97.5833333333333,0.668557923421521,12,394.609933985448,473211,3457866,473450,3457552,372.392048707966
"3763C0","52",-89.25,0.452267016866645,12,253.071136244337,473211,3457866,473217,3457613,222.937307694979
"3763C0","55",-77.25,0.452267016866645,12,196.562967010574,473211,3457866,473265,3457677,116.521632265205
"3763C0","58",-83,1.48323969741913,11,174.771279105006,473211,3457866,473330,3457738,159.753436628402
"3763C0","65",-92.8333333333333,0.937436866561092,12,161.111762450791,473211,3457866,473372,3457860,272.798043984208
"3763C0","66",-90.0833333333333,0.514928650544437,12,172.072659071684,473211,3457866,473383,3457861,233.349181956923
"3763C0","70",-89.5833333333333,9.11001779594443,12,253.355481487968,473211,3457866,473453,3457941,227.029278278677
"3763C0","71",-83.5,0.522232967867094,12,166.712327078714,473211,3457866,473338,3457974,164.06015943041
"3763C0","80",-97.2727272727273,0.646669790682863,11,237.018986581244,473211,3457866,473448,3457869,363.871949323406
"3763C0","86",-89.2,0.421637021355784,10,392.665251836727,473211,3457866,473306,3457485,222.331544300839
"3763C0","88",-92.9090909090909,3.70012284808344,11,351.455544841734,473211,3457866,473300,3457526,274.018781116022
"3763C0","94",-96,1.49071198499986,10,689.942026550057,473211,3457866,473073,3457190,332.68166999381
"3763C0","96",-101.181818181818,1.4709304414677,11,740.314122518273,473211,3457866,473043,3457145,521.791505623379
"3763C0","108",-101.727272727273,0.467099366496914,11,923.483080516368,473211,3457866,472961,3456977,561.35077972461
"3763C0","114",-101.5,0.904534033733291,12,703.81886874394,473211,3457866,472956,3457210,543.788338062294
"3763C0","118",-101.545454545455,0.820199532264724,11,1081.25713870476,473211,3457866,472957,3456815,547.164950612802
